Actividad_500	MW	GD	nAT	nSK	nBT	nBO	RBN	nDB	nTB	nAB	nH	nC	nN	nO	nP	nS	nF	nCL	nBR	nI	nB	nHM	nHet	nX	H%	C%	N%	O%	X%	nStructures	totalcharge	nCIC	nCIR	TRS	Rbrid	NRS	nR03	nR04	nR05	nR06	nR07	nR08	nR09	nR10	nR11	nR12	Hy	AMR	TPSA(NO)	TPSA(Tot)	MLOGP	ALOGP	SAtot	SAacc	SAdon	Vx	VvdwMG	VvdwZAZ	BLTF96	BLTD48	BLTA96	Ro5	DLS_01	DLS_02	DLS_03	DLS_04	DLS_05	DLS_06	DLS_07	DLS_cons	LLS_01	LLS_02	CMC-80	CMC-50	Inflammat-80	Inflammat-50	Depressant-80	Depressant-50	Psychotic-80	Psychotic-50	Hypertens-80	Hypertens-50	Hypnotic-80	Hypnotic-50	Neoplastic-80	Neoplastic-50	Infective-80	Infective-50
1	51457	597	62	38	66	42	5	3	0	23	24	29	4	3	0	0	2	0	0	0	0	0	9	2	387097	467742	64516	48387	32258	1	0	5	7	31	2	3	0	0	0	4	1	0	0	1	1	0	1489	1379196	9489	9489	45914	51708	6.174.735	1775995	606941	6080066	2525601	45041	-52926	-56818	-58214	1	5	6667	8333	5	5	8333	1	6905	1667	625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	49055	619	60	36	63	39	6	4	0	18	24	27	4	3	0	0	2	0	0	0	0	0	9	2	40	45	66667	5	33333	1	0	4	5	25	1	3	0	0	0	3	1	0	0	0	1	0	8006	1301993	10486	10486	38661	41435	5.979.725	1761728	509079	5863787	2436962	44171	-46761	-49927	-50961	0	1	8333	1	6	5	1	1	8476	1667	875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	37438	9	38	25	40	27	2	3	0	11	13	14	4	3	0	1	3	0	0	0	0	1	11	3	342105	368421	105263	78947	78947	1	0	3	4	17	1	2	0	0	1	2	0	0	1	0	0	0	-1193	828599	9602	1044	8115	24049	3.908.695	1493053	16663	3802326	1592101	28313	-20798	-20909	-20415	0	1	1	1	6	5	1	1	8714	5	1	1	1	1	0	1	0	0	0	1	1	0	0	1	1	1	1
0	62293	529	102	44	108	50	4	0	0	0	58	35	0	9	0	0	0	0	0	0	0	0	9	0	568627	343137	0	88235	0	1	0	7	25	38	5	2	1	0	1	5	1	0	2	2	2	0	27977	1614808	14907	14907	21272	20477	9.882.017	2890997	2561001	7987043	3307149	60665	-31982	-33409	-33572	1	5	3333	6667	8	1	5	5	6143	1667	625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	4289	798	47	27	48	28	8	3	0	6	20	16	2	4	0	1	3	1	0	0	0	2	11	4	425532	340426	42553	85106	85106	1	0	2	2	10	0	2	0	1	0	1	0	0	0	0	0	0	4139	936241	897	9808	17755	29724	4.905.448	1597539	328972	4562957	1903835	34827	-28991	-30067	-30055	0	1	1	1	1	1	1	1	1	3333	1	1	0	1	0	0	0	1	0	1	1	0	0	1	0	1	0
1	4294	788	41	29	44	32	2	2	0	17	12	18	3	2	0	1	5	0	0	0	0	1	11	5	292683	439024	73171	4878	121951	1	0	4	7	23	2	2	0	0	1	3	0	0	1	1	0	0	-1999	967367	6606	7444	36376	50188	4.066.003	1372951	16663	4210465	1759371	31614	-4482	-47757	-48676	0	1	1	1	4	5	1	1	8429	3333	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
1	37785	933	38	25	41	28	2	2	0	17	13	17	3	2	0	1	1	1	0	0	0	2	8	2	342105	447368	78947	52632	52632	1	0	4	7	23	2	2	0	0	1	3	0	0	1	1	0	0	-2378	953514	6606	7444	31825	45354	3.905.903	774546	16663	4062791	1698849	28977	-40951	-43434	-44125	0	1	1	1	4	0	1	1	7714	3333	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0
1	3614	933	38	25	41	28	2	2	0	17	13	17	3	2	0	1	2	0	0	0	0	1	8	2	342105	447368	78947	52632	52632	1	0	4	7	23	2	2	0	0	1	3	0	0	1	1	0	0	-2378	90763	6606	7444	30657	40765	3.720.222	924147	16663	3888704	1627502	28063	-39959	-42324	-42957	0	1	1	1	4	0	1	1	7714	3333	1	1	1	1	1	1	0	0	0	1	0	0	0	1	0	1	0
0	37438	9	38	25	40	27	2	3	0	11	13	14	4	3	0	1	3	0	0	0	0	1	11	3	342105	368421	105263	78947	78947	1	0	3	4	17	1	2	0	0	1	2	0	0	1	0	0	0	-1193	828599	9602	1044	8115	24049	3.908.695	1493053	16663	3802326	1592101	28313	-20798	-20909	-20415	0	1	1	1	6	5	1	1	8714	5	1	1	1	1	0	1	0	0	0	1	1	0	0	1	1	1	1
0	40097	862	51	26	53	28	5	3	0	6	25	18	2	4	0	1	0	1	0	0	0	2	8	1	490196	352941	39216	78431	19608	1	0	3	3	17	0	3	0	0	1	2	0	0	0	0	0	0	-6844	1008958	6692	753	2297	39618	5.043.548	851006	0	4762957	1985802	3523	-33425	-35022	-3527	0	1	1	1	1	1	1	1	1	3333	1	1	0	1	0	0	0	1	1	1	0	0	0	1	0	1	0
